No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source,SMILES_clean,PC1_acid_base_score,AcidBaseClass
,,COC(=O)NCC(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@H](NC(=O)OC)c5ccccc5)[nH]4)cc3)cc2)[nH]1,,,,,,,,,,,,COC(=O)NCC(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@H](NC(=O)OC)c5ccccc5)[nH]4)cc3)cc2)[nH]1,0.0774989191850121,Neutral
,,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,,,,,,,,,,,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-0.005393027867215843,Neutral
,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,,,,,,,,,,,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,-0.02346126659032911,Neutral
,,C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(C(=O)OCC)ncn1-2,,,,,,,,,,,,C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(C(=O)OCC)ncn1-2,-0.019127349814451772,Neutral
,,N#Cc1cnc2c(Cl)cc(NCc3cn(CC(=O)O)nn3)cc2c1Nc1ccc(F)c(Cl)c1,,,,,,,,,,,,N#Cc1cnc2c(Cl)cc(NCc3cn(CC(=O)O)nn3)cc2c1Nc1ccc(F)c(Cl)c1,0.024885321723654288,Neutral
,,COc1cc2c(cc1OC)C1CC(N)C(N3CCCC3=O)CN1CC2,,,,,,,,,,,,COc1cc2c(cc1OC)C1CC(N)C(N3CCCC3=O)CN1CC2,-0.018339786454739933,Neutral
,,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@H](C)CC3=O)CN1CC2,,,,,,,,,,,,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@H](C)CC3=O)CN1CC2,-0.016847164898709847,Neutral
,,O=C(O)c1ccc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)cc1OC1CCCCC1,,,,,,,,,,,,O=C(O)c1ccc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)cc1OC1CCCCC1,0.011319800588585663,Neutral
,,C[C@H](NC(=O)C(=O)NCCC1CCCC1)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,,,,,,,,,,,,C[C@H](NC(=O)C(=O)NCCC1CCCC1)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,0.030456360928986435,Neutral
,,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,,,,,,,,,,,,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,0.03972047913921843,Neutral
,,O=C(NC1CC2CCC(C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1-c1ccccc1,,,,,,,,,,,,O=C(NC1CC2CCC(C1)N2Cc1ccc2cc(F)ccc2c1)c1ccccc1-c1ccccc1,-0.0065349610468039,Neutral
,,Cc1cc(C)c(S(=O)(=O)N[C@H](CN2Cc3ccccc3C2=O)C(=O)O)c(C)c1,,,,,,,,,,,,Cc1cc(C)c(S(=O)(=O)N[C@H](CN2Cc3ccccc3C2=O)C(=O)O)c(C)c1,-0.006661543939877,Neutral
,,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1C,,,,,,,,,,,,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1C,-0.020380641033411435,Neutral
,,COc1ccc2c(=O)n(C(c3ccccc3)c3ccccc3)c(=O)n(C/C=C/COc3ccc(C(=O)O)cc3)c2c1,,,,,,,,,,,,COc1ccc2c(=O)n(C(c3ccccc3)c3ccccc3)c(=O)n(C/C=C/COc3ccc(C(=O)O)cc3)c2c1,0.028670926994633222,Neutral
,,Cc1ccc(C(=O)N2CCC(=CC(=O)N[C@@H]3CCN(Cc4ccc5cc(F)ccc5c4)C3)CC2)c(O)c1,,,,,,,,,,,,Cc1ccc(C(=O)N2CCC(=CC(=O)N[C@@H]3CCN(Cc4ccc5cc(F)ccc5c4)C3)CC2)c(O)c1,0.006950938679259287,Neutral
,,CC(=O)Nc1cc(-c2ccc(C#N)cc2C)n2ncnc2c1,,,,,,,,,,,,CC(=O)Nc1cc(-c2ccc(C#N)cc2C)n2ncnc2c1,-0.025909246882968685,Neutral
,,O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,,,,,,,,,,,,O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.03090670136029458,Neutral
,,O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1)Nc1cccnc1,,,,,,,,,,,,O=C(Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1)Nc1cccnc1,0.022098057806814852,Neutral
,,CC(C)Sc1cc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)ccc1C(=O)O,,,,,,,,,,,,CC(C)Sc1cc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)ccc1C(=O)O,0.00307555938380078,Neutral
,,Cc1cc(C)c(S(=O)(=O)N[C@H](CNCC(=O)c2ccoc2)C(=O)O)c(C)c1,,,,,,,,,,,,Cc1cc(C)c(S(=O)(=O)N[C@H](CNCC(=O)c2ccoc2)C(=O)O)c(C)c1,0.004967756328097508,Neutral
,,Cc1c(Nc2c(C#N)cncc2-c2ccc(OCCN3CCN(C)CC3)cc2)ccc2[nH]ccc12,,,,,,,,,,,,Cc1c(Nc2c(C#N)cncc2-c2ccc(OCCN3CCN(C)CC3)cc2)ccc2[nH]ccc12,0.01347103621833358,Neutral
,,CC(=O)NCC(=O)NCc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccccc2)c1,,,,,,,,,,,,CC(=O)NCC(=O)NCc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccccc2)c1,0.013961397715985223,Neutral
,,N#Cc1cnc2c(Cl)cc(NCc3cn(CCC4CCCN4)nn3)cc2c1Nc1ccc(F)c(Cl)c1,,,,,,,,,,,,N#Cc1cnc2c(Cl)cc(NCc3cn(CCC4CCCN4)nn3)cc2c1Nc1ccc(F)c(Cl)c1,0.031012977133109937,Neutral
,,CC(C)(C)n1cc(CNc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)nn1,,,,,,,,,,,,CC(C)(C)n1cc(CNc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)nn1,0.01102547102334921,Neutral
,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCc1cn(C)cn1)c1nnc(C)n1-2,,,,,,,,,,,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCc1cn(C)cn1)c1nnc(C)n1-2,0.014408759356273608,Neutral
,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCc1ccon1)c1nnc(C)n1-2,,,,,,,,,,,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCc1ccon1)c1nnc(C)n1-2,0.014232886215911272,Neutral
,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC(=O)O)c1nnc(C)n1-2,,,,,,,,,,,,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC(=O)O)c1nnc(C)n1-2,0.009835922160184451,Neutral
,,CC(C)=CCC12OC[C@@H]3[C@@H](CN(CCO)CCO)[C@@H](C=C4C(=O)c5c(O)cccc5O[C@]431)C2=O,,,,,,,,,,,,CC(C)=CCC12OC[C@@H]3[C@@H](CN(CCO)CCO)[C@@H](C=C4C(=O)c5c(O)cccc5O[C@]431)C2=O,0.030858546505385304,Neutral
,,CC(=O)OC[C@@H]1[C@H]2COC3(CC=C(C)C)C(=O)[C@@H]1C=C1C(=O)c4c(O)cccc4O[C@]123,,,,,,,,,,,,CC(=O)OC[C@@H]1[C@H]2COC3(CC=C(C)C)C(=O)[C@@H]1C=C1C(=O)c4c(O)cccc4O[C@]123,0.008829504949026033,Neutral
,,Fc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)cc1,,,,,,,,,,,,Fc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)cc1,-0.00623942245799652,Neutral
,,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(F)c4)ncnc32)cc1,,,,,,,,,,,,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(F)c4)ncnc32)cc1,-0.012408106046077451,Neutral
,,CCOCc1c(C(=O)NCc2cncn2C)cnn1-c1ncc(C)c(N2CCCC2)n1,,,,,,,,,,,,CCOCc1c(C(=O)NCc2cncn2C)cnn1-c1ncc(C)c(N2CCCC2)n1,0.013600621845097735,Neutral
,,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H]2CCCN2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc21)C1CCC(F)(F)CC1.Cl.Cl,,,,,,,,,,,,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H]2CCCN2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc21)C1CCC(F)(F)CC1.Cl.Cl,0.03281797130717578,Neutral
,,CN(C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](N)Cc1ccc(O)c(O)c1)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,,,,,,,,,,,,CN(C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](N)Cc1ccc(O)c(O)c1)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,0.1092912579399026,Neutral
,,CN(C(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](N)Cc1ccc(O)c(O)c1)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,,,,,,,,,,,,CN(C(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](N)Cc1ccc(O)c(O)c1)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,0.10051502361734845,Neutral
,,C[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc4c(N)n[nH]c4c3)c(Cl)[nH]2)CC1,,,,,,,,,,,,C[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc4c(N)n[nH]c4c3)c(Cl)[nH]2)CC1,0.017474393288966498,Neutral
,,CCOC(=O)c1c(-c2cccc(OCC)c2)[nH]c2cc(OC)ccc2c1=O,,,,,,,,,,,,CCOC(=O)c1c(-c2cccc(OCC)c2)[nH]c2cc(OC)ccc2c1=O,-0.01271651837349126,Neutral
,,CCOC(=O)C1=C(c2ccc3c(c2)OCO3)Nc2cc(OC)ccc2C1NC,,,,,,,,,,,,CCOC(=O)C1=C(c2ccc3c(c2)OCO3)Nc2cc(OC)ccc2C1NC,-0.00044952661748882315,Neutral
,,CCOC(=O)c1c(-c2cccc(C)c2)[nH]c2cc(OC)ccc2c1=O,,,,,,,,,,,,CCOC(=O)c1c(-c2cccc(C)c2)[nH]c2cc(OC)ccc2c1=O,-0.022789287344188832,Neutral
,,CC(C)(C)[C@H]1C(O)=C(C2=CS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)C(=O)N1Cc1ccccc1,,,,,,,,,,,,CC(C)(C)[C@H]1C(O)=C(C2=CS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)C(=O)N1Cc1ccccc1,0.02220935080970822,Neutral
,,COc1cc2c(cc1OC)C1CC(N)C(N3CCCC[S+]3[O-])CN1CC2,,,,,,,,,,,,COc1cc2c(cc1OC)C1CC(N)C(N3CCCC[S+]3[O-])CN1CC2,-0.012284088967078848,Neutral
,,COc1ccc2nccc(OCC(=O)Nc3cc(C)cc(C)c3)c2c1,,,,,,,,,,,,COc1ccc2nccc(OCC(=O)Nc3cc(C)cc(C)c3)c2c1,-0.022315617911290744,Neutral
,,COc1cc2c(cc1OC)C1CC(N)C(N3CCC(C)CC3=O)CN1CC2,,,,,,,,,,,,COc1cc2c(cc1OC)C1CC(N)C(N3CCC(C)CC3=O)CN1CC2,-0.015310206289744282,Neutral
,,Cc1cc(C)cc(NC(=O)Cn2ccc(=O)c3ccc(Cl)cc32)c1,,,,,,,,,,,,Cc1cc(C)cc(NC(=O)Cn2ccc(=O)c3ccc(Cl)cc32)c1,-0.029924489909667423,Neutral
,,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@H](CF)CC3=O)CN1CC2,,,,,,,,,,,,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@H](CF)CC3=O)CN1CC2,-0.013705035771876584,Neutral
,,CCOc1cc(CN2CCC(Nc3nc4ccc(Cl)cc4o3)CC2)ccc1Cl,,,,,,,,,,,,CCOc1cc(CN2CCC(Nc3nc4ccc(Cl)cc4o3)CC2)ccc1Cl,-0.008870686682341327,Neutral
,,CC(=O)N(C)CCc1cc(Br)c(OCCCNc2ncn(C)c3ncnc2-3)c(Br)c1,,,,,,,,,,,,CC(=O)N(C)CCc1cc(Br)c(OCCCNc2ncn(C)c3ncnc2-3)c(Br)c1,0.009293517435132917,Neutral
,,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCCN3CCCC(CC(C)C)C3)CC2)c(C)o1,,,,,,,,,,,,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCCN3CCCC(CC(C)C)C3)CC2)c(C)o1,0.008180252652113628,Neutral
,,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCN3C[C@H](C)C[C@H](C)C3)CC2)c(C)o1,,,,,,,,,,,,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCN3C[C@H](C)C[C@H](C)C3)CC2)c(C)o1,-0.0010556672798651536,Neutral
,,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCCN3CCOCC3)CC2)c(C)o1,,,,,,,,,,,,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCCN3CCOCC3)CC2)c(C)o1,0.002810521596515955,Neutral
,,Cc1oc(-c2ccc(Cl)c(Cl)c2)nc1CN1CCC(C(=O)NCCCN2C[C@H](C)C[C@H](C)C2)CC1,,,,,,,,,,,,Cc1oc(-c2ccc(Cl)c(Cl)c2)nc1CN1CCC(C(=O)NCCCN2C[C@H](C)C[C@H](C)C2)CC1,0.005797887247865426,Neutral
,,CC[C@@H]1C[C@H](CC)CN(CCCNC(=O)C2CCN(Cc3nc(-c4c(F)cccc4F)oc3C)CC2)C1,,,,,,,,,,,,CC[C@@H]1C[C@H](CC)CN(CCCNC(=O)C2CCN(Cc3nc(-c4c(F)cccc4F)oc3C)CC2)C1,0.009985932749172428,Neutral
,,Cc1cccc(Cl)c1-c1nc(CN2CCC(C(=O)NCCCN3CCCC(C)C3)CC2)c(C)o1,,,,,,,,,,,,Cc1cccc(Cl)c1-c1nc(CN2CCC(C(=O)NCCCN3CCCC(C)C3)CC2)c(C)o1,0.003173721966488038,Neutral
,,Cc1ccc2ccccc2c1-c1nc(CN2CCC(C(=O)NCCCN3C[C@H](C)C[C@H](C)C3)CC2)c(C)o1,,,,,,,,,,,,Cc1ccc2ccccc2c1-c1nc(CN2CCC(C(=O)NCCCN3C[C@H](C)C[C@H](C)C3)CC2)c(C)o1,0.011326840364287473,Neutral
,,NS(=O)(=O)c1cccc(-c2n[nH]c3ccc(NC(=O)C(c4ccsc4)N4CCCC4)cc23)c1,,,,,,,,,,,,NS(=O)(=O)c1cccc(-c2n[nH]c3ccc(NC(=O)C(c4ccsc4)N4CCCC4)cc23)c1,0.01984479746399432,Neutral
,,Cc1ncn2c1Cn1nc(CN3CCCC3=O)nc1-c1cc(Br)ccc1-2,,,,,,,,,,,,Cc1ncn2c1Cn1nc(CN3CCCC3=O)nc1-c1cc(Br)ccc1-2,-0.01222994339611814,Neutral
,,Cc1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2,,,,,,,,,,,,Cc1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2,-0.03433196653633202,Neutral
,,Clc1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2,,,,,,,,,,,,Clc1ncn2c1Cn1ncnc1-c1cc(Br)ccc1-2,-0.03320042281098471,Neutral
,,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCF)CC4)c2)CC1,,,,,,,,,,,,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCF)CC4)c2)CC1,0.0314135924538742,Neutral
,,C=Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2,,,,,,,,,,,,C=Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2,0.028195018284041473,Neutral
,,CN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,,,,,,,,,,,,CN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,-0.04632777008550927,Neutral
,,CN1C(C(=O)NC2CC2)=C(Cl)c2ccccc2S1(=O)=O,,,,,,,,,,,,CN1C(C(=O)NC2CC2)=C(Cl)c2ccccc2S1(=O)=O,-0.034377858464416045,Neutral
,,Cc1c(Nc2c(C#N)cncc2/C=C/CN2CCNCC2)ccc2[nH]ccc12,,,,,,,,,,,,Cc1c(Nc2c(C#N)cncc2/C=C/CN2CCNCC2)ccc2[nH]ccc12,-0.0028125617328332857,Neutral
,,N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)NCC(=O)O)cc2)cc1.O=C(O)C(F)(F)F,,,,,,,,,,,,N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)NCC(=O)O)cc2)cc1.O=C(O)C(F)(F)F,0.030494605331816055,Neutral
,,Cn1c(=O)cc(NC(C)(C)c2ncc(C3CC3)cn2)c2cc(Nc3ccnc(Cl)c3C#N)ccc21,,,,,,,,,,,,Cn1c(=O)cc(NC(C)(C)c2ncc(C3CC3)cn2)c2cc(Nc3ccnc(Cl)c3C#N)ccc21,0.022430772961534493,Neutral
,,Cc1cccc2sc(NC(=O)CCN3CCN(CCN(C(C)C)C(C)C)CC3)nc12,,,,,,,,,,,,Cc1cccc2sc(NC(=O)CCN3CCN(CCN(C(C)C)C(C)C)CC3)nc12,-0.003497560609106827,Neutral
,,O=C(O)C1CN(Cc2ccc(CCc3cccc(C(F)(F)F)c3)cc2)C1,,,,,,,,,,,,O=C(O)C1CN(Cc2ccc(CCc3cccc(C(F)(F)F)c3)cc2)C1,-0.026920419958936972,Neutral
,,C[C@H](NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccc(F)cc1)C(=O)OC1CCCCC1,,,,,,,,,,,,C[C@H](NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccc(F)cc1)C(=O)OC1CCCCC1,0.04855252309034758,Neutral
,,NCC(O)CNC(=O)/C=N/O,,,,,,,,,,,,NCC(O)CNC(=O)/C=N/O,-0.035939940060097327,Neutral
,,Cl.c1ccc(OCc2cc(N3CCNCC3)no2)cc1,,,,,,,,,,,,Cl.c1ccc(OCc2cc(N3CCNCC3)no2)cc1,-0.028579498742287813,Neutral
,,COc1ccccc1Nc1nnc(-c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)[C@H](C)N)c2)o1,,,,,,,,,,,,COc1ccccc1Nc1nnc(-c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)[C@H](C)N)c2)o1,0.0324108785190804,Neutral
,,COCc1ccccc1C1CCc2nc[nH]c2C1,,,,,,,,,,,,COCc1ccccc1C1CCc2nc[nH]c2C1,-0.044044135999204086,Neutral
,,COc1cccc(C2Cc3nccn3C2)c1,,,,,,,,,,,,COc1cccc(C2Cc3nccn3C2)c1,-0.05065737479349074,Neutral
,,FC(F)Oc1ccccc1C1Cc2nccn2C1,,,,,,,,,,,,FC(F)Oc1ccccc1C1Cc2nccn2C1,-0.04570138930363217,Neutral
,,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3)nn3c2N[C@H](CO)CC3)ccc1=O,,,,,,,,,,,,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3)nn3c2N[C@H](CO)CC3)ccc1=O,0.007938913342320055,Neutral
,,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3)nn3c2NC[C@@H](O)C3)ccc1=O,,,,,,,,,,,,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3)nn3c2NC[C@@H](O)C3)ccc1=O,0.004860273364993794,Neutral
,,CCCCCCOc1ccc(C(=O)CCN(C)C)c(I)c1,,,,,,,,,,,,CCCCCCOc1ccc(C(=O)CCN(C)C)c(I)c1,-0.031437989051742055,Neutral
,,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1S(C)(=O)=O,,,,,,,,,,,,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1S(C)(=O)=O,-0.020345342622092553,Neutral
,,CCCCCCOc1ccc2cc(C(=O)CCN(C)C)ccc2c1,,,,,,,,,,,,CCCCCCOc1ccc2cc(C(=O)CCN(C)C)ccc2c1,-0.029355179869349993,Neutral
,,CCCCCCOc1ccc(C(=O)CCN2CC2C)cc1,,,,,,,,,,,,CCCCCCOc1ccc(C(=O)CCN2CC2C)cc1,-0.03374565074784199,Neutral
,,C[C@H](NC(=O)C(=O)NCc1ccccc1F)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,,,,,,,,,,,,C[C@H](NC(=O)C(=O)NCc1ccccc1F)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,0.03015275026304019,Neutral
,,CC(=O)c1ccc(N2CCN(C(=O)c3cc(S(N)(=O)=O)ccc3N3CCOCC3)CC2)c(F)c1,,,,,,,,,,,,CC(=O)c1ccc(N2CCN(C(=O)c3cc(S(N)(=O)=O)ccc3N3CCOCC3)CC2)c(F)c1,0.010176044411314101,Neutral
,,CCN(CC)CCCC(C)Nc1ccnc2cc(Oc3ccccc3)ccc12,,,,,,,,,,,,CCN(CC)CCCC(C)Nc1ccnc2cc(Oc3ccccc3)ccc12,-0.012893284734035256,Neutral
,,Cc1cccc(Nc2nc3c(s2)CCc2n[nH]cc2-3)n1,,,,,,,,,,,,Cc1cccc(Nc2nc3c(s2)CCc2n[nH]cc2-3)n1,-0.022872580807245586,Neutral
,,CCOC(=O)c1c(-c2cccc(F)c2)[nH]c2cccc(OC)c2c1=O,,,,,,,,,,,,CCOC(=O)c1c(-c2cccc(F)c2)[nH]c2cccc(OC)c2c1=O,-0.02264236084551427,Neutral
,,COc1cccc2c1CC(CO)=C(c1ccc3c(c1)OCO3)N2,,,,,,,,,,,,COc1cccc2c1CC(CO)=C(c1ccc3c(c1)OCO3)N2,-0.01876245728706668,Neutral
,,CCOC(=O)c1c(-c2ccc(OC)cc2)[nH]c2cc(OC)ccc2c1=O,,,,,,,,,,,,CCOC(=O)c1c(-c2ccc(OC)cc2)[nH]c2cc(OC)ccc2c1=O,-0.015795158350817518,Neutral
,,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CC[C@@H](O)C2)ccc2[nH]ccc12,,,,,,,,,,,,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CC[C@@H](O)C2)ccc2[nH]ccc12,0.0014771354397314345,Neutral
,,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CC(N)C2)ccc2[nH]ccc12,,,,,,,,,,,,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CC(N)C2)ccc2[nH]ccc12,0.0006655885041082702,Neutral
,,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCN(S(C)(=O)=O)CC2)ccc2[nH]ccc12,,,,,,,,,,,,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCN(S(C)(=O)=O)CC2)ccc2[nH]ccc12,0.011334945901165336,Neutral
,,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4cn(C)cn4)c(=O)oc3c2C)OC1(C)C,,,,,,,,,,,,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4cn(C)cn4)c(=O)oc3c2C)OC1(C)C,0.06292296588333707,Neutral
,,CS(=O)(=O)c1ccc(-c2ccc(F)cc2)c(C(=O)N2Cc3ccc(C4CCOCC4)cc3C2)c1,,,,,,,,,,,,CS(=O)(=O)c1ccc(-c2ccc(F)cc2)c(C(=O)N2Cc3ccc(C4CCOCC4)cc3C2)c1,-0.005675751198188262,Neutral
,,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](c3ccc(Cc4cccc(N)c4)cc3)O[C@]12C(=O)CO,,,,,,,,,,,,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](c3ccc(Cc4cccc(N)c4)cc3)O[C@]12C(=O)CO,0.03903224902461365,Neutral
,,CCN(CC)CC.Nc1ccc(-c2cn(-c3nc(N)c4ncn([C@@H]5O[C@H](COS(=O)(=O)NC(=O)c6ccccc6O)[C@@H](O)[C@H]5O)c4n3)nn2)cc1,,,,,,,,,,,,CCN(CC)CC.Nc1ccc(-c2cn(-c3nc(N)c4ncn([C@@H]5O[C@H](COS(=O)(=O)NC(=O)c6ccccc6O)[C@@H](O)[C@H]5O)c4n3)nn2)cc1,0.11911843141128269,Neutral
,,Cn1cc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc2n1,,,,,,,,,,,,Cn1cc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc2n1,-0.03612290221435293,Neutral
,,CCCCCCc1ccc(C(=O)CCN(C2CCCCC2)C2CCCCC2)cc1,,,,,,,,,,,,CCCCCCc1ccc(C(=O)CCN(C2CCCCC2)C2CCCCC2)cc1,-0.020426853702708574,Neutral
,,CCCCCCc1ccc(C(=O)CCN(C)Cc2ccco2)cc1,,,,,,,,,,,,CCCCCCc1ccc(C(=O)CCN(C)Cc2ccco2)cc1,-0.0272297677101561,Neutral
,,CCCCCCc1ccc(C(=O)C2CO2)cc1,,,,,,,,,,,,CCCCCCc1ccc(C(=O)C2CO2)cc1,-0.046989382659743596,Neutral
