Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Final Value(10^-6),log Pe,Result,Standard Units,Comment,Assay Description
CHEMBL2181754,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1,Papp,'=',1.5,1.5,-5.823908741,1,ucm/s,,Apparent permeability of the compound at 20 uM incubated at 20 degC for 5 hrs in 2% DMSO containing PBS buffer solution by PAMPA assay
CHEMBL4282414,Cn1cc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)c2ccccc21,permeability,'=',4.6,4.6,-5.337242168,1,ucm/s,,Permeability of the compound at 500 uM after 8 hrs by PAMPA
CHEMBL3302600,COc1ccccc1N1CCN(CC(O)CN2C(=O)NC(C)(c3ccc(F)cc3)C2=O)CC1,Peff,'=',2.3,2.3,-5.638272164,1,ucm/s,,Effective permeability of the compound at 200 uM after 5 hrs by PAMPA
CHEMBL3400926,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@](C)(CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,permeability,'=',303.33,30.333,-4.518084635,1,nm/s,,Permeability of the compound at donor pH 7.4 and acceptor pH 7.4 after 3 hrs incubation by PAMPA analysis
CHEMBL3400927,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@](C)(CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,permeability,'=',185,18.5,-4.732828272,1,nm/s,,Permeability of the compound at donor pH 7.4 and acceptor pH 7.4 after 3 hrs incubation by PAMPA analysis
CHEMBL3091687,NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,permeability,'=',6,0.6,-6.22184875,1,nm/s,,Permeability of the compound at pH 5.5 at 100 uM after 4 hrs by PAMPA
CHEMBL4089307,c1ccc2c(c1)CN[C@@H](CN(CCCCNC1CCNCC1)[C@H]1CCCc3cccnc31)C2,permeability,'=',19,1.9,-5.721246399,1,nm/s,,Permeability of the compound at pH 5.5 at 100 uM after 4 hrs by PAMPA
CHEMBL4070320,C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCC1CCOCC1,permeability,'=',33.5,3.35,-5.474955193,1,nm/s,,Permeability of the compound at pH 5.5 at 100 uM after 4 hrs by PAMPA
CHEMBL5590737,OC[C@H]1O[C@@H](c2nncn2-c2cc(Cl)ccc2OC(F)(F)F)[C@H](O)[C@@H](n2cc(-c3ccc(Br)c(F)c3F)nn2)[C@H]1O,permeability,'=',180,18,-4.744727495,1,nm/s,,Permeability of the compound at pH 7.4 incubated for 4 hrs by PAMPA
CHEMBL5075400,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,Peff,'=',0.5,0.5,-6.301029996,1,10^-6 cm/s,,Permeability of the compound in PBS at pH 7.4 after 16 hrs by PAMPA
CHEMBL5568311,O=P(O)(O)C(F)(F)c1ccc2occc2c1,permeability,'=',1.5,1.5,-5.823908741,1,10^-6 cm/s,,Permeability of compound in PBS at pH 7.4 at 200 uM incubated for 5 hrs by PAMPA
CHEMBL5555119,O=P(O)(O)C(F)(F)c1ccc2sccc2c1,permeability,'=',1.6,1.6,-5.795880017,1,10^-6 cm/s,,Permeability of compound in PBS at pH 7.4 at 200 uM incubated for 5 hrs by PAMPA
