No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source
1443,,CC1=CC(=C(N1C2=CC=NC=C2)C)C3=NN=C4N3CCCCC4,20,7.4,0.5,200,200,25,0.5,,24.46,-4.611543547,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1444,,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC=N2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,20,7.4,0.5,200,200,25,0.5,,814.13,-3.089306242,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1445,,CC[S+](=O)(NC1=CC=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC=C3)[O-],20,7.4,0.5,200,200,25,0.5,,511.75,-3.290942149,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1446,,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC(=CC=C4)S(=O)(=O)NC5=NC=CS5)C,20,7.4,0.5,200,200,25,0.5,,22.3,-4.651695137,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1447,,COC1=C(N=C(O1)C2=CC=CC3=CC=CC=C32)C(=O)OC,20,7.4,0.5,200,200,25,0.5,,938.83,-3.027413041,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1448,,C1=CC(=C(C(=C1)Cl)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,20,7.4,0.5,200,200,25,0.5,,18.42,-4.734710374,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1449,,C1CC2=C(C(N=C(N2)NC3=NC4=C(O3)C=C(C=C4)F)C5=C(C=NN5)Cl)C(=O)C1,20,7.4,0.5,200,200,25,0.5,,652.63,-3.185332967,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1450,,C1=CC(=C(C(=C1)Br)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,20,7.4,0.5,200,200,25,0.5,,72.74,-4.138226703,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1451,,C1CC(C1)C(=O)N2CCN(CC2)C/C=C/C3=CC=CC=C3,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1452,,C1=CC=C2C(=C1)/C(=C\C3=CC=C(C=C3)O)/C(=O)N2,20,7.4,0.5,200,200,25,0.5,,754.59,-3.122288954,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1453,,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=CC=C(C=C3)C4=NC5=CC=CC=C5N4,20,7.4,0.5,200,200,25,0.5,,2.2,-5.657577319,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1454,,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC(=C4)C#N,20,7.4,0.5,200,200,25,0.5,,189.36,-3.722711755,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1455,,CC1=CC=CC=C1S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1456,,CC(C)(CN1C2=C(C=C(C=C2)CN3CCOCC3)N=C1NC(=O)C4=CC=C(S4)C5=CNN=C5)O,20,7.4,0.5,200,200,25,0.5,,367.85,-3.43432924,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1457,,CC(C)(C)C1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,20,7.4,0.5,200,200,25,0.5,,369.57,-3.43230329,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1458,,COC1=NC(=C(C=C1)C(=O)NC2CCN(CC2)C3=CC(=O)N(N=C3)CC4CC4)OC,20,7.4,0.5,200,200,25,0.5,,549.5,-3.260032303,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1459,,COC1=C(C=CC=N1)C2=NC(=C3C=CN(C3=C2)CC4CCN(CC4)[S+](=O)(C)[O-])N5CCOCC5,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1460,,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,20,7.4,0.5,200,200,25,0.5,,191.95,-3.716811884,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1461,,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)O)I,20,7.4,0.5,200,200,25,0.5,,67.71,-4.169347186,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1462,,CC1=CN2C(=CC(=N2)C3=NC(=NO3)C4CCCN(C4)C(=O)C5=CC=CC=C5)C(=O)N1,20,7.4,0.5,200,200,25,0.5,,135.8,-3.86710023,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1463,,C1C(CN1)NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl,20,7.4,0.5,200,200,25,0.5,,181.57,-3.740955906,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1464,,CCOC1=CC=C(C=C1)C2C3=C(C(=O)N2CCCN(C)C)OC4=C(C3=O)C=C(C=C4)C,20,7.4,0.5,200,200,25,0.5,,516.12,-3.287249311,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1465,,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=C(C=NN5)Cl)C(=O)C1,20,7.4,0.5,200,200,25,0.5,,717.95,-3.1439058,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1466,,C1=CC(=C(C=C1[C@H](CN)O)O)O,20,7.4,0.5,200,200,25,0.5,,5.7,-5.244125144,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1467,,C1COCCN1C2=C3C=CN(C3=CC(=N2)C4=CC5=C(C=C4)C(=O)NC5)CC6=CC=NC=C6,20,7.4,0.5,200,200,25,0.5,,189.02,-3.723492241,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1468,,CCCCN(C)C(=O)C1=C(SC2=C1C(=O)N(C=C2)CCC)C,20,7.4,0.5,200,200,25,0.5,,123.63,-3.907876131,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1469,,CCC[C@@H]1CN(C[C@H]1NC(=O)C)C(=O)C2=CC=C(C=C2)C3=CC=C(O3)C,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1470,,CC1=C(C=C(C=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CN=CC=C4)[N+](=O)[O-],20,7.4,0.5,200,200,25,0.5,,82.47,-4.083704005,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1471,,CCCC1=CC(=O)OC2=C1C3=C(C=CC(O3)(C)C)C4=C2C(C(C(O4)C)C)O,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1472,,C1=CC=C(C=C1)C2=CNN=C2,20,7.4,0.5,200,200,25,0.5,,287.69,-3.541075234,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1473,,C1=CN(C(=O)C(=C1)C(=O)NC2=CC(=C(C=C2)OC3=C4C=CNC4=NC=C3)F)C5=CC=C(C=C5)F,20,7.4,0.5,200,200,25,0.5,,407.37,-3.390010957,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1474,,CC1=NN(C(=O)C2=CC(=NN12)C3=CC=CC=C3)CC(=O)NCCCN4CCC(CC4)N5CCCCC5,20,7.4,0.5,200,200,25,0.5,,15.42,-4.811915626,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1475,,CCNC1=C(N=C(O1)C2=CC=CC3=CC=CC=C32)C#N,20,7.4,0.5,200,200,25,0.5,,727.57,-3.138125217,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1476,,CN(C1=CC=CC=C1)C(=O)CSC2=NC3=C(CCCC3)C(=O)N2,20,7.4,0.5,200,200,25,0.5,,142.87,-3.845058955,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1477,,CC1=NN(C(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl)C,20,7.4,0.5,200,200,25,0.5,,31.67,-4.499351937,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1478,,CN1C2=C(C=CC(=C2)C(=O)NCC3=CC=C(C=C3)Br)[S@@](=O)C4=CC=CC=C4C1=O,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1479,,CC(C1=CC=CC=C1)NC2=CC=C(C=C2)[S+](=O)(NC3=NC=CS3)[O-],20,7.4,0.5,200,200,25,0.5,,641,-3.19314197,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1480,,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC=C(S3)C4=CC=CC=C4,20,7.4,0.5,200,200,25,0.5,,125.37,-3.901806374,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1481,,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4)OC,20,7.4,0.5,200,200,25,0.5,,14.9,-4.826813732,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1482,,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2C(=O)NC3=NC(=CS3)C4=CC=CC=C4)Cl)Cl,20,7.4,0.5,200,200,25,0.5,,5,-5.301029996,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1483,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)N5C=NC=N5)F,20,7.4,0.5,200,200,25,0.5,,170.52,-3.768224676,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
1484,,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=NC5=CC=CC=C5N4,20,7.4,0.5,200,200,25,0.5,,1000,-3,https://pubchem.ncbi.nlm.nih.gov/bioassay/1508612
